Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549851,0.545931,0.557548
Naive,32,0.132636,0.132449,0.133455
Naive,64,0.132780,0.132515,0.133812
Naive,128,0.131627,0.131330,0.132485
Naive,256,0.131913,0.131728,0.132740
Naive,512,0.132308,0.132013,0.133311
Naive,1024,0.134558,0.134191,0.135548
Transpose,32,0.086373,0.085983,0.087295
Transpose,64,0.077704,0.077181,0.079985
Transpose,128,0.077219,0.076437,0.079867
Transpose,256,0.077379,0.076484,0.080820
Transpose,512,0.077491,0.076821,0.081115
Transpose,1024,0.078318,0.077814,0.080490
Shmem,32,0.079325,0.079016,0.080426
Shmem,64,0.074467,0.073636,0.079751
Shmem,128,0.073814,0.072838,0.079864
Shmem,256,0.073792,0.073047,0.079693
Shmem,512,0.074074,0.073260,0.079191
Shmem,1024,0.075943,0.075167,0.079624
All_GPU,32,0.023720,0.023090,0.023877
All_GPU,64,0.017803,0.017069,0.019019
All_GPU,128,0.018142,0.017420,0.019035
All_GPU,256,0.018192,0.017304,0.019602
All_GPU,512,0.018571,0.017684,0.020774
All_GPU,1024,0.019572,0.018642,0.021157