Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549658,0.547054,0.556345
All_GPU,32,0.023720,0.023090,0.023877
Sequential,-1,0.548754,0.546757,0.555546
All_GPU,64,0.017803,0.017069,0.019019
Sequential,-1,0.548517,0.545823,0.554945
All_GPU,128,0.018142,0.017420,0.019035
Sequential,-1,0.549660,0.546173,0.556035
All_GPU,256,0.018192,0.017304,0.019602
Sequential,-1,0.548653,0.543624,0.555923
All_GPU,512,0.018571,0.017684,0.020774
Sequential,-1,0.549387,0.545835,0.556571
All_GPU,1024,0.019572,0.018642,0.021157